round,family,head,representation,augmentation,class_weighting,pooling,context_frames,temperature,threshold_mode,family_cv_elapsed_seconds,target_macro_f1,all_class_macro_f1,accuracy,false_alert_rate,ece,threshold,cv_target_macro_f1_mean,cv_target_macro_f1_std,cv_false_alert_rate_mean,promoted
1,current_clip_mean_mlp,baseline,clip_mean,none,False,mean_probability,full,1.0,global,1403.1838417053223,0.7347590906706085,0.7596362777827308,0.9601173020527859,0.00665335994677312,0.012782199838818245,0.0,0.7136254405819623,0.013881118618654036,0.006670216573846751,True
1,frame_linear,linear,frame,none,False,mean_probability,full,1.0,global,1646.7596955299377,0.6601234860234393,0.6915403596794748,0.9460410557184751,0.003992015968063872,0.02707454684721694,0.385,0.6346824552964904,0.008458765552259054,0.003984356812000095,False
1,frame_linear,linear,frame,none,False,topk_probability,full,1.0,global,1646.7596955299377,0.6676726619936679,0.6983663332943011,0.9466275659824047,0.003992015968063872,0.04267537181034366,0.41500000000000004,0.6364461237268255,0.022541263187807248,0.003984356812000095,False
1,frame_linear,linear,frame,none,False,logit_logmeanexp,full,1.0,global,1646.7596955299377,0.6601234860234393,0.6915403596794748,0.9460410557184751,0.003992015968063872,0.027074546847307437,0.385,0.6346824552964904,0.008458765552259054,0.003984356812000095,False
1,frame_compact,compact,frame,none,False,mean_probability,full,1.0,global,1424.3952496051788,0.6938114419323096,0.7222153140257236,0.9524926686217009,0.0013306719893546241,0.016795735046602037,0.32,0.6743023189383343,0.05828676280631063,0.001325381047051027,False
1,frame_compact,compact,frame,none,False,topk_probability,full,1.0,global,1424.3952496051788,0.6847146258179496,0.7139963380977633,0.9519061583577713,0.0013306719893546241,0.022749253925375905,0.31,0.6703944009953285,0.07488403127367178,0.001325381047051027,False
1,frame_compact,compact,frame,none,False,logit_logmeanexp,full,1.0,global,1424.3952496051788,0.6938114419323096,0.7222153140257236,0.9524926686217009,0.0013306719893546241,0.016795735046876228,0.32,0.6743023189383343,0.05828676280631063,0.001325381047051027,False
